Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4164679,2021,Xe mới,"Toyota Corolla Cross 1.8V",Bắc Ninh,Xe nhập khẩu,màu đen,"máy xăng 1.8 L",số tự động,0,830 Triệu
3691650,2022,Xe mới,"VinFast Lux A 2.0 Cao cấp",TP HCM,Xe lắp ráp trong nước,màu xanh,"máy xăng 2.0 L",số tự động,0,976 Triệu
3082772,2021,Xe mới,"LandRover Range Rover Sport HSE 3.0 I6",TP HCM,Xe nhập khẩu,màu đỏ,"máy xăng 3.0 L",số tự động,0,7 Tỷ 55 Triệu
4406441,2021,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,2980,2 Tỷ 450 Triệu
4320926,2022,Xe mới,"Honda Brio RS",Hà Nội,Xe nhập khẩu,màu vàng,"máy xăng 1.2 L",số tự động,0,410 Triệu
3834739,2022,Xe mới,"Hyundai SantaFe Đặc biệt 2.2L HTRAC",Cần Thơ,Xe lắp ráp trong nước,màu đen,"máy dầu 2.2 L",số tự động,0,1 Tỷ 290 Triệu
4329822,2022,Xe mới,"Honda City L 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 1.5 L",số tự động,0,544 Triệu
4310339,2021,Xe cũ,"Mercedes Benz E class E300 AMG",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,3888,2 Tỷ 899 Triệu
4361757,2021,Xe cũ,"Mercedes Benz C class C200 Exclusive",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,9500,1 Tỷ 615 Triệu
4401498,2009,Xe cũ,"Toyota Fortuner 2.7V 4x4 AT",TP HCM,Xe lắp ráp trong nước,màu bạc,"máy xăng 2.7 L",số tự động,94000,385 Triệu
3359867,2022,Xe mới,"VinFast Lux A 2.0 Nâng cao",Đồng Nai,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,0,948 Triệu
1804861,2022,Xe mới,"Ford Everest Titanium 2.0L 4x2 AT",TP HCM,Xe nhập khẩu,màu đỏ,"máy dầu 2.0 L",số tự động,0,1 Tỷ 200 Triệu
4398945,2022,Xe mới,"Honda Civic RS 1.5 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,860 Triệu
3354995,2022,Xe mới,"VinFast Lux A 2.0 Tiêu chuẩn",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,0,671 Triệu
4369841,2018,Xe cũ,"Mercedes Benz GLC 250 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,57000,1 Tỷ 685 Triệu
3967844,2016,Xe cũ,"Mercedes Benz S class S500L",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 4.7 L",số tự động,5000,3 Tỷ 580 Triệu
4187429,2021,Xe mới,"Honda City RS 1.5 AT",Gia Lai,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,599 Triệu
4263449,2017,Xe cũ,"Mercedes Benz E class E250",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy xăng 2.0 L",số tự động,60000,1 Tỷ 660 Triệu
