Title,Sub-category,Category,Author,Seller Name,Current Price,Origin Price,Review Rating,Sales,Publisher,Paper Size,Cover Type,Num Pages
Doanh Nghiệp Của Thế Kỷ 21 (Tái Bản 2019),Sách kinh tế học,Sách kinh tế,"Robert T Kiyosaki,  John Fleming,  Kim Kiyosaki",Tiki Trading,62.800 ₫,85.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 13 x 20.5 cm, Bìa mềm,260
Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài Chính,Sách kỹ năng làm việc,Sách kinh tế,Thomas R. Ittelson,Tiki Trading,113.760 ₫,158.000 ₫,4.7,1000+,Công ty phát hành BIZBOOKS, 16 x 26 cm, Bìa mềm,332
Dạy Con Làm Giàu (Tập 4) - Con Giàu Con Thông Minh (Tái Bản 2019),Bài học kinh doanh,Sách kinh tế,"Robert T. Kiyosaki, Sharon L. Lechter",Tiki Trading,57.200 ₫,85.000 ₫,4.8,1000+, NXB Trẻ, 14 x 20 cm, Bìa mềm,280
Muốn Thành Công Nói Không Với Trì Hoãn – 21 Nguyên Tắc Vàng Đập Tan Sự Trì Hoãn,Sách kỹ năng làm việc,Sách kinh tế,Damon Zahariades,Nhà sách Fahasa,56.400 ₫,96.000 ₫,4.8,315, Nhà Xuất Bản Hồng Đức, 13 x 20.5 cm, Bìa mềm,204
Lập Kế Hoạch Quản Lý Tài Chính Cá Nhân,Sách kỹ năng làm việc,Sách kinh tế,"Kristy Shen, Bryce Leung",Nhà sách Fahasa,79.000 ₫,158.000 ₫,4.8,201, Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân, 13.5x20.5 cm, Bìa mềm,524
Sách Người Trong Muôn Nghề: Ngành Sáng tạo và Nghệ thuật có gì?,Sách kỹ năng làm việc,Sách kinh tế,Nhóm tác giả Spiderum,Spiderum Store,110.000 ₫,169.000 ₫,4.8,598, Nhà Xuất Bản Thế Giới, 13.5x20.5 cm, Bìa gập,320
Tư Duy Nhanh Và Chậm (Bản mới nhất 2020),Bài học kinh doanh,Sách kinh tế,Daniel Kahneman,Omega Plus Books,188.300 ₫,269.000 ₫,4.8,721, Nhà Xuất Bản Thế Giới, 16 x 24 cm, Bìa mềm,612
Em Phải Đến Harvard Học Kinh Tế (Tái Bản),Sách khởi nghiệp,Sách kinh tế,Lưu Vệ Hoa - Trương Hân Vũ,Tiki Trading,63.200 ₫,98.000 ₫,4.6,1000+,Công ty phát hành Huy Hoàng Bookstore, 16 x 24 cm, Bìa mềm,459
Lý thuyết Dow - Khoa học đầu cơ chứng khoán: Bí quyết phân tích hành vi thị trường của cha đẻ chỉ số Dow Jones - Tác phẩm nền tảng của phân tích kĩ thuật hiện đại,"Sách tài chính, tiền tệ",Sách kinh tế,Charles Dow,Eco Trading,52.000 ₫,55.000 ₫,4.9,283, Nhà Xuất Bản Kinh Tế TPHCM,18 x 11 cm, Bìa mềm,112
"Gieo Thói Quen Nhỏ, Gặt Thành Công Lớn (Tái Bản 2018)",Sách kỹ năng làm việc,Sách kinh tế,Stephen Guise,Tiki Trading,54.500 ₫,79.000 ₫,4.8,1000+,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,192
OKR - Phương Pháp Thiết Lập Mục Tiêu Và Quản Lý Công Việc Vượt Trội,Sách kỹ năng làm việc,Sách kinh tế,Kazuhiro Okuda,Nhà sách Fahasa,55.000 ₫,110.000 ₫,4.8,363, Nhà Xuất Bản Công Thương, 13 x 20 cm, Bìa mềm,216
"Kinh Doanh Nhỏ, Thu Lợi Lớn",Sách kỹ năng làm việc,Sách kinh tế,Dr. Rusly Abdullah PHD,Nhà sách Fahasa,45.200 ₫,79.000 ₫,4.8,64, Nhà Xuất Bản Lao Động Xã Hội, 13 x 20.5 cm, Bìa mềm,186
Dấn Thân (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,"Sherryl Sandberg, Nell Scovell",Tiki Trading,88.900 ₫,112.000 ₫,4.9,1000+,Công ty phát hành NXB Trẻ, 13 x 19 cm, Bìa mềm,352
Lược Sử Kinh Tế Học,Sách kinh tế học,Sách kinh tế,Niall Kishtainy,Tiki Trading,87.750 ₫,135.000 ₫,4.7,1000+, Nhà Xuất Bản Thế Giới, 15.5 x 24 cm, Bìa mềm,316
Blue Ocean Strategy - Chiến Lược Đại Dương Xanh (Bìa Cứng) (Tái Bản),"Sách quản trị, lãnh đạo",Sách kinh tế,W.Chan Kim,Tiki Trading,165.000 ₫,239.000 ₫,4.9,1000+, Nhà Xuất Bản Công Thương, 16 x 24 cm, Bìa cứng,344
