price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
9749.0,883.0,1418.0,3.811,2019.0,754.0,53.8,3.3
9495.0,883.0,5024.0,3.811,2019.0,754.0,53.8,3.3
9495.0,883.0,2820.0,3.811,2019.0,754.0,53.8,3.3
8999.0,883.0,3345.0,3.811,2019.0,754.0,53.8,3.3
8995.0,883.0,20357.466614906833,3.811,2019.0,754.0,53.8,3.3
8795.0,883.0,5193.0,3.811,2019.0,754.0,53.8,3.3
9895.0,883.0,1410.0,3.811,2019.0,754.0,53.8,3.3
10700.0,883.0,20357.466614906833,3.811,2019.0,754.0,53.8,3.3
10299.0,449.0,20357.466614906833,3.962,2019.0,754.8326035911603,111.4,1.66
7999.0,745.0,9698.0,4.374,2019.0,754.8326035911603,92.6,3.7
7695.0,385.0,20357.466614906833,4.38,2008.0,754.8326035911603,119.0,5.0
24995.0,271.0,8304.0,4.38,2019.0,754.8326035911603,122.0,5.0
14499.0,1687.861,806.0,4.375,2019.0,754.8326035911603,81.18,4.42
13995.0,1450.0,9536.0,4.38,2019.0,754.8326035911603,104.7,3.6
14999.0,1700.0,8402.0,4.056,2019.0,754.8326035911603,107.6,5.3
7995.0,249.9,50.0,3.0,2019.0,754.8326035911603,104.7,6.0
7995.0,293.2,20357.466614906833,2.808,2019.0,754.8326035911603,98.8,6.0
8999.0,293.2,1.0,2.808,2019.0,754.8326035911603,81.18,3.3
4994.0,49.0,50.0,3.0,2019.0,754.8326035911603,102.0,6.0
8499.0,853.0,900.0,3.003,2019.0,754.8326035911603,45.72,3.9
5499.0,1247.051,3042.0,4.5,2019.0,754.8326035911603,98.8,5.0
14895.0,1783.0,2500.0,3.563,2019.0,754.8326035911603,98.7,6.0
11495.0,599.0,1055.0,3.0,2019.0,754.8326035911603,104.7,6.0
7599.0,449.0,45.0,3.0,2019.0,754.8326035911603,111.4,6.0
12999.0,1200.0,1863.0,3.15,2019.0,754.8326035911603,100.0,5.0
12499.0,1200.0,355.0,3.15,2019.0,754.8326035911603,118.0,6.0
8295.0,900.0,13000.0,3.12,2019.0,754.8326035911603,59.0,4.7
8295.0,1746.0,38.0,4.38,2019.0,754.8326035911603,78.228,6.0
24399.0,1649.0,1770.0,3.0,2018.0,754.8326035911603,81.18,7.0
23999.0,1649.0,16095.0,3.0,2018.0,754.8326035911603,99.5,7.0
22999.0,125.0,27840.0,4.374,2018.0,754.8326035911603,92.0,3.3
24995.0,600.0,20357.466614906833,4.374,2018.0,754.8326035911603,83.3,5.0
23999.0,1202.806,2547.0,4.38,2018.0,754.8326035911603,119.0,6.0
23999.0,1198.0,5539.0,4.375,2018.0,754.8326035911603,104.7,5.0
11995.0,280.0,10.0,3.811,2018.0,754.8326035911603,78.228,5.8
17990.0,1746.0,212.0,4.374,2018.0,754.0,109.0,5.0
17990.0,1868.0,20357.466614906833,4.5,2016.0,754.0,119.0,5.0
20495.0,1868.0,20357.466614906833,4.5,2018.0,754.0,119.0,5.0
19995.0,1868.0,1812.0,4.5,2018.0,754.0,119.0,5.0
19995.0,1746.0,3021.0,4.374,2018.0,754.0,109.0,5.0
17995.0,1746.0,7300.0,4.374,2018.0,754.0,109.0,5.0
19495.0,1746.0,10623.0,4.374,2018.0,754.0,109.0,5.0
18995.0,1868.0,6236.0,4.5,2018.0,754.0,119.0,5.0
20995.0,1868.0,11072.0,4.5,2018.0,754.0,119.0,5.0
18364.5,1868.0,10813.0,4.5,2018.0,754.0,119.0,5.0
7995.0,1868.0,20357.466614906833,4.5,2018.0,754.0,119.0,5.0
19495.0,1868.0,36955.0,4.5,2018.0,754.0,119.0,5.0
12490.0,1868.0,7043.0,4.5,2018.0,754.0,119.0,5.0
18995.0,1746.0,9520.0,4.374,2018.0,756.0,111.0,6.0
23449.0,1746.0,20357.466614906833,4.375,2015.0,756.0,111.0,6.0
24499.0,1746.0,21359.0,4.375,2018.0,756.0,111.0,6.0
15495.0,1746.0,5513.0,4.375,2018.0,756.0,114.0,6.0
34999.0,1746.0,47408.0,4.375,2018.0,756.0,114.0,6.0
27990.0,1746.0,10351.0,4.375,2018.0,756.0,114.0,6.0
24999.0,1746.0,22957.0,4.375,2018.0,756.0,114.0,6.0
26994.0,1746.0,25283.0,4.375,2018.0,756.0,114.0,6.0
26995.0,1746.0,9794.0,4.375,2018.0,756.0,114.0,6.0
22699.0,1746.0,4415.0,4.375,2018.0,756.0,111.0,6.0
22999.0,1746.0,22440.0,4.375,2018.0,756.0,111.0,6.0
27895.0,1746.0,5208.0,4.375,2018.0,756.0,111.0,6.0
35853.0,1923.0,17399.0,4.5,2018.0,756.0,124.0,6.0
35853.0,1923.0,11672.0,4.5,2018.0,756.0,124.0,6.0
16495.0,1746.0,5188.0,4.375,2018.0,754.0,108.0,5.0
23995.0,1746.0,5804.0,4.375,2018.0,756.0,114.0,6.0
26495.0,1746.0,35923.0,4.375,2018.0,756.0,114.0,6.0
25999.0,1746.0,9430.0,4.375,2018.0,756.0,114.0,6.0
27895.0,1746.0,5541.0,4.375,2018.0,756.0,114.0,6.0
24995.0,1746.0,5708.0,4.375,2018.0,756.0,114.0,6.0
21499.0,1746.0,7567.0,4.375,2018.0,756.0,111.0,6.0
9995.0,1746.0,8011.0,4.375,2018.0,756.0,111.0,6.0
9995.0,1746.0,13257.0,4.375,2018.0,756.0,111.0,6.0
28995.0,1746.0,7484.0,4.375,2018.0,756.0,111.0,6.0
27495.0,1746.0,18410.0,4.375,2018.0,756.0,111.0,6.0
34749.0,1923.0,20357.466614906833,4.5,2019.0,756.0,125.0,6.0
14599.0,1746.0,20357.466614906833,4.374,2012.0,754.0,110.0,3.5
14499.0,1746.0,20357.466614906833,4.374,2019.0,754.0,110.0,3.5
16990.0,1746.0,20357.466614906833,4.374,2017.0,754.0,109.0,3.5
18995.0,1746.0,4331.0,4.374,2018.0,754.0,109.0,3.5
19699.0,1746.0,9687.0,4.374,2018.0,754.0,109.0,3.5
16995.0,1746.0,20357.466614906833,4.374,2017.0,754.0,107.0,3.6
