price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
1690.0,Nhập khẩu,Xe đã dùng,Sedan,5000,Trắng,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Audi,2020,2.0,Xăng
1068.0,Lắp ráp trong nước,Xe đã dùng,Sedan,0,Trắng,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2015,2.0,Xăng
1330.0,Lắp ráp trong nước,Xe đã dùng,Sedan,50000,Trắng,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2018,2.0,Xăng
365.0,Lắp ráp trong nước,Xe đã dùng,Crossover,0,Bạc,Màu khác,5,8.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2013,2.0,Xăng
660.0,Lắp ráp trong nước,Xe đã dùng,SUV,70000,Trắng,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2016,2.0,Xăng
379.0,Lắp ráp trong nước,Xe đã dùng,Sedan,80000,Vàng,Đồng,4,5.0,Số tay,"FWD,Dẫn động cầu trước",Toyota,2017,1.5,Xăng
720.0,Lắp ráp trong nước,Xe đã dùng,SUV,80000,Bạc,Nâu,5,8.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2016,2.5,Dầu
465.0,Lắp ráp trong nước,Xe đã dùng,Crossover,0,Đen,Đen,5,8.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2016,2.0,Xăng
608.0,Nhập khẩu,Xe đã dùng,SUV,0,Xanh,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Suzuki,2016,1.6,Xăng
455.0,Lắp ráp trong nước,Xe đã dùng,SUV,45000,Trắng,Màu khác,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Chevrolet,2017,1.8,Xăng
330.0,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,12345,Kem,Nhiều màu,2,29.0,Số tay,"RFD,Dẫn động cầu sau",Hyundai,2009,2.0,Dầu
1522.0,Lắp ráp trong nước,Xe đã dùng,SUV,9668,Trắng,Nâu,5,7.0,Số tự động,"AWD,4 bánh toàn thời gian",Hyundai,2021,2.2,Dầu
2588.0,Nhập khẩu,Xe mới,SUV,0,Trắng,Kem,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Toyota,2022,2.7,Xăng
1429.0,Lắp ráp trong nước,Xe đã dùng,SUV,40000,Đỏ,Đen,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2017,2.0,Xăng
1087.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Đen,5,7.0,Số tự động,"RFD,Dẫn động cầu sau",Toyota,2022,2.4,Dầu
3950.0,Nhập khẩu,Xe mới,SUV,0,Đen,Nâu,5,7.0,Số tự động,"AWD,4 bánh toàn thời gian",Volvo,2022,2.0,Xăng
619.0,Lắp ráp trong nước,Xe đã dùng,SUV,57000,Đen,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2013,2.4,Xăng
1439.0,Nhập khẩu,Xe đã dùng,SUV,8585,Đen,Đen,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2021,2.0,Dầu
1150.0,Nhập khẩu,Xe đã dùng,SUV,0,Đen,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Porsche,2007,4.8,Xăng
880.0,Nhập khẩu,Xe đã dùng,SUV,106000,Nâu,Kem,5,7.0,Số tự động,"AWD,4 bánh toàn thời gian",BMW,2011,3.0,Xăng
990.0,Lắp ráp trong nước,Xe đã dùng,SUV,42000,Đỏ,Đen,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2020,2.5,Xăng
880.0,Lắp ráp trong nước,Xe đã dùng,SUV,0,Nâu,Kem,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Hyundai,2018,2.4,Xăng
1750.0,Nhập khẩu,Xe đã dùng,SUV,65000,Đen,Đen,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Toyota,2017,1.4,Xăng
505.0,Nhập khẩu,Xe đã dùng,Sedan,36000,Trắng,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2019,1.5,Xăng
1360.0,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,0,Trắng,Ghi,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Peugeot,2019,2.0,Dầu
699.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,44000,Trắng,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Ford,2020,2.7,Dầu
2099.0,Lắp ráp trong nước,Xe mới,Sedan,0,Trắng,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2022,1.5,Xăng
2580.0,Nhập khẩu,Xe đã dùng,SUV,50000,Trắng,Đen,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Porsche,2015,2.0,Xăng
860.0,Nhập khẩu,Xe mới,SUV,0,Đen,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2022,1.8,Hybrid
4450.0,Nhập khẩu,Xe đã dùng,SUV,55000,Trắng,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Porsche,2019,3.0,Xăng
1328.0,Nhập khẩu,Xe mới,SUV,0,Trắng,Ghi,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2022,2.0,Dầu
355.0,Lắp ráp trong nước,Xe đã dùng,Crossover,90000,Cát,Kem,5,8.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2014,2.0,Xăng
1100.0,Nhập khẩu,Xe đã dùng,SUV,87000,Bạc,Ghi,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Lexus,2009,3.5,Hybrid
485.0,Nhập khẩu,Xe mới,Sedan,0,Trắng,Màu khác,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mitsubishi,2022,1.2,Xăng
639.0,Lắp ráp trong nước,Xe đã dùng,Sedan,60,Trắng,Ghi,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2018,1.6,Xăng
755.0,Lắp ráp trong nước,Xe đã dùng,SUV,110000,Bạc,Ghi,5,8.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2016,2.5,Dầu
1679.0,Lắp ráp trong nước,Xe đã dùng,Sedan,34000,Đen,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2019,2.0,Xăng
460.0,Lắp ráp trong nước,Xe đã dùng,SUV,61000,Trắng,Nhiều màu,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Chevrolet,2017,1.8,Xăng
1310.0,Nhập khẩu,Xe mới,SUV,0,Bạc,Đen,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2022,2.0,Dầu
478.0,Lắp ráp trong nước,Xe mới,Sedan,0,Đỏ,Đen,4,5.0,Số tay,"FWD,Dẫn động cầu trước",Toyota,2022,1.5,Xăng
563.0,Nhập khẩu,Xe mới,SUV,0,Đen,Đen,4,7.0,Số tự động,"FWD,Dẫn động cầu trước",Suzuki,2022,1.5,Xăng
4920.0,Nhập khẩu,Xe đã dùng,SUV,15000,Đen,Nâu,5,8.0,Số tự động,"AWD,4 bánh toàn thời gian",Toyota,2020,4.6,Xăng
616.0,Lắp ráp trong nước,Xe đã dùng,Sedan,17777,Đỏ,Ghi,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2021,1.5,Xăng
