,Name,Price,Rating,Reviews,Location
163,Huy Hoang 1 Hotel,370.0,7.8,33.0,"Tan Binh, Ho Chi Minh City"
164,Dong Khanh Hotel,807.331,7.4,70.0,"District 5, Ho Chi Minh City"
165,RedDoorz near Tan Huong Market 2,217.98,7.3,116.0,"Tan Phu District, Ho Chi Minh City"
166,Cactusland Apartment,630.0,8.7,375.0,"Phu Nhuan, Ho Chi Minh City"
167,Sao Nam Hotel - Bui Vien Walking Street,480.0,7.8,129.0,"District 1, Ho Chi Minh City"
168,M&H Hotel,600.0,8.1,220.0,"District 1, Ho Chi Minh City"
169,Northern Charm Hotel,1489.5,8.0,46.0,"District 1, Ho Chi Minh City"
170,Vinhomes Luxury Apartment,1170.0,7.8,39.0,"Binh Thanh, Ho Chi Minh City"
171,RedDoorz Plus near Phan Xich Long,419.812,7.0,46.0,"Phu Nhuan, Ho Chi Minh City"
172,La Galerie Hotel,490.959,8.3,156.0,Ho Chi Minh City
173,Rang Dong Hotel,595.0,8.3,151.0,"District 1, Ho Chi Minh City"
174,Prague Hotel,744.603,8.3,917.0,"District 1, Ho Chi Minh City"
175,Botanic House Saigon,675.0,8.1,234.0,"District 1, Ho Chi Minh City"
176,White Diamond Hotel - Airport,643.774,7.9,339.0,"Tan Binh, Ho Chi Minh City"
177,Chill Suites,754.128,8.6,487.0,"District 1, Ho Chi Minh City"
178,Minh Chau Hotel,426.782,7.4,296.0,"District 10, Ho Chi Minh City"
179,Saigon Hanoi Central Hotel,787.5,7.9,121.0,"District 1, Ho Chi Minh City"
180,Saigonciti Hotel,572.0,7.6,195.0,"District 1, Ho Chi Minh City"
181,ART & LANG FAMILY,225.0,9.1,122.0,"Tan Binh, Ho Chi Minh City"
182,Somerset Ho Chi Minh City,2593.78,8.9,743.0,"District 1, Ho Chi Minh City"
183,First Hotel,1054.688,7.6,82.0,"Tan Binh, Ho Chi Minh City"
184,Ohana Hotel,154.4,8.7,184.0,"District 1, Ho Chi Minh City"
185,Avanti Hotel,798.0,8.3,570.0,"District 1, Ho Chi Minh City"
186,LeBlanc Saigon,534.581,8.1,93.0,"District 3, Ho Chi Minh City"
187,Vân Anh Luxury,641.25,8.2,250.0,"District 1, Ho Chi Minh City"
188,Aristo Saigon Hotel,990.0,8.1,542.0,"District 3, Ho Chi Minh City"
189,Grand Cititel Central Saigon Hotel,1020.0,8.0,311.0,"District 1, Ho Chi Minh City"
190,TN Central Hotel,498.4,8.7,174.0,"District 1, Ho Chi Minh City"
191,Saigonciti Hotel A,861.3,8.2,859.0,"District 1, Ho Chi Minh City"
192,Silverland Sil Hotel & Spa,611.481,7.8,207.0,"District 1, Ho Chi Minh City"
193,Rosa Hotel,522.0,8.0,55.0,Ho Chi Minh City
194,Amanaki Saigon Boutique Hotel,1262.5,8.6,327.0,"District 1, Ho Chi Minh City"
195,ALUNA Ben Thanh Hotel,636.804,8.3,268.0,"District 1, Ho Chi Minh City"
196,The Arrivals Hotel from Sunland hotel,979.29,8.5,1388.0,"District 1, Ho Chi Minh City"
197,Asian Kitchen Hotel,447.525,8.5,427.0,"District 1, Ho Chi Minh City"
198,Bon Ami Hotel - Thiên Xuân Hotel,623.794,8.4,231.0,"District 1, Ho Chi Minh City"
199,Thanh Long Hotel - Bach Dang,943.0,8.8,111.0,"Tan Binh, Ho Chi Minh City"
200,Thanh Long Hotel - Bach Dang,943.0,8.8,111.0,"Tan Binh, Ho Chi Minh City"
201,The Odys Boutique Hotel,1005.615,8.3,593.0,"District 1, Ho Chi Minh City"
202,RedDoorz Premium @ Hang Xanh,433.519,7.7,126.0,"Binh Thanh, Ho Chi Minh City"
203,Hotel L'Odéon Phu My Hung,824.893,8.3,66.0,"District 7, Ho Chi Minh City"
204,My Anh 120 Central Saigon Hotel Ben Thanh Market,437.4,8.6,504.0,"District 1, Ho Chi Minh City"
205,Sai Gon River Hotel,312.0,7.4,76.0,"District 2, Ho Chi Minh City"
206,Bland Landmark Plus Luxury Residence,1555.556,8.9,82.0,"Binh Thanh, Ho Chi Minh City"
207,HAPPYHOMES 102 Luxury Bui Vien Apartment,600.0,7.6,100.0,"District 1, Ho Chi Minh City"
208,A in Hotel Del Luna,598.5,8.5,521.0,"District 1, Ho Chi Minh City"
209,RedDoorz Plus near Nguyen Hue Walking Street,403.317,8.0,52.0,"District 4, Ho Chi Minh City"
210,TD Hotel Saigon,544.0,6.9,49.0,"District 1, Ho Chi Minh City"
211,Chez Mimosa Local,790.68,9.1,473.0,"District 1, Ho Chi Minh City"
212,The Art - Tina Hotel and Apartments,659.736,9.2,623.0,"Binh Thanh, Ho Chi Minh City"
213,NTA Serviced Apartments,1496.0,9.2,81.0,"District 1, Ho Chi Minh City"
214,Ngoc Minh Hotel,520.0,8.3,177.0,"District 1, Ho Chi Minh City"
215,White Lotus Hotel,703.714,7.7,40.0,"District 1, Ho Chi Minh City"
216,Caroline Hotel,419.3,7.4,168.0,"District 10, Ho Chi Minh City"
217,Liberty Hotel Saigon Parkview,764.712,7.9,98.0,"District 1, Ho Chi Minh City"
218,Cozrum Lux Hotel,509.954,8.4,357.0,"District 1, Ho Chi Minh City"
219,Triple E,762.724,8.6,639.0,"District 1, Ho Chi Minh City"
220,ZO APARTMENT MILLENNIUM - Free pool & gym,854.05,10.0,6.0,"District 4, Ho Chi Minh City"
221,Beauty House,509.15,8.5,496.0,"District 1, Ho Chi Minh City"
222,Me Gustas MetroPoint,777.6,7.9,50.0,"District 1, Ho Chi Minh City"
223,SoLex Hotel,1069.2,8.4,49.0,"Tan Binh, Ho Chi Minh City"
224,The Arrivals Hotel,1038.825,7.2,14.0,"District 1, Ho Chi Minh City"
225,A25 Hotel - 251 Hai Bà Trưng HCM,785.4,8.0,2.0,"District 3, Ho Chi Minh City"
226,Dlux Saigon,405.0,7.3,143.0,"District 3, Ho Chi Minh City"
227,Aquari Hotel,1226.214,8.3,106.0,"District 1, Ho Chi Minh City"
228,BAP.Homestay,333.7,8.7,267.0,"Tan Binh, Ho Chi Minh City"
229,Minh Hoang Hotel,405.0,8.1,54.0,"Tan Binh, Ho Chi Minh City"
230,The White House,500.0,9.4,448.0,"District 1, Ho Chi Minh City"
231,RedDoorz @ Nguyen Kiem Street,329.7,6.9,152.0,"Phu Nhuan, Ho Chi Minh City"
232,RedDoorz Yen Nam - Nguyen Trong Tuyen Street,545.268,7.9,90.0,"Phu Nhuan, Ho Chi Minh City"
233,Cozrum Homes The Gallery Residence,497.873,8.8,139.0,"Binh Thanh, Ho Chi Minh City"
234,Vien Dong Hotel,847.988,8.1,222.0,"District 1, Ho Chi Minh City"
235,A25 Hotel - Lê Thị Hồng Gấm,664.02,7.6,11.0,"District 1, Ho Chi Minh City"
236,Dinh Phat Hotel,630.0,8.2,145.0,"District 1, Ho Chi Minh City"
237,Aiden Saigon Hotel,589.874,8.0,205.0,"District 6, Ho Chi Minh City"
238,Full House Hostel,346.5,9.3,396.0,"District 1, Ho Chi Minh City"
239,City By Night Ben Thanh Apartments,2800.0,8.9,43.0,"District 1, Ho Chi Minh City"
240,Ngan Ha Apartment,918.0,9.3,49.0,"District 7, Ho Chi Minh City"
241,Sogo Hotel Saigon,337.5,9.1,30.0,"District 1, Ho Chi Minh City"
242,Elios Hotel,742.744,7.8,277.0,"District 1, Ho Chi Minh City"
243,Teddy Apartment at Sky Center Luxury,711.607,8.5,65.0,"Tan Binh, Ho Chi Minh City"
244,Lam Kinh Hotel,500.2,8.3,197.0,"District 5, Ho Chi Minh City"
245,Cozrum Homes Delightful Corner,422.832,8.7,140.0,"District 1, Ho Chi Minh City"
246,The Haven - Lofts by the Park,910.08,9.4,150.0,"District 1, Ho Chi Minh City"
247,Silverland Central Hotel,955.57,7.7,373.0,"District 1, Ho Chi Minh City"
248,Glenwood City Resort,997.605,8.0,95.0,"District 2, Ho Chi Minh City"
249,Victory Airport Hotel,583.601,8.6,346.0,"Tan Binh, Ho Chi Minh City"
250,Nesta Hotel Saigon-Formerly Saigon Princess Hotel,1355.75,8.3,220.0,"District 1, Ho Chi Minh City"
251,Queen Central Apartment Hotel,270.0,6.7,107.0,"District 1, Ho Chi Minh City"
252,Sophia Hotel,789.75,7.5,123.0,"District 1, Ho Chi Minh City"
253,Cosmo Park Hotel,425.0,7.8,324.0,"District 1, Ho Chi Minh City"
254,The Airport Hotel,669.794,8.0,189.0,"Tan Binh, Ho Chi Minh City"
255,Gia Vien Hotel,380.0,8.3,201.0,"District 1, Ho Chi Minh City"
256,SECC 3 APARTMENT,684.0,7.9,128.0,"District 7, Ho Chi Minh City"
257,HANZ Meraki Hotel Bui Vien Walking Street,81.0,8.0,96.0,"District 1, Ho Chi Minh City"
258,Bach Suites Saigon,2172.6,8.6,34.0,"District 3, Ho Chi Minh City"
259,AHA Boutique Hotel,529.412,6.3,210.0,"District 1, Ho Chi Minh City"
260,Sunny Serviced Apartment,1117.253,8.6,68.0,"District 1, Ho Chi Minh City"
261,RedDoorz near Mien Dong Bus Station,390.788,5.7,14.0,"Binh Thanh, Ho Chi Minh City"
262,Saigon Cozy Hotel - Pham Ngu Lao & Bui Vien Street,420.0,9.3,7.0,"District 1, Ho Chi Minh City"
263,RedDoorz Plus near Ben Thanh Market,377.064,7.1,64.0,"District 1, Ho Chi Minh City"
264,Ramana Saigon Hotel,868.665,7.7,112.0,"District 3, Ho Chi Minh City"
265,Saigon Sky Garden Serviced Apartments,2700.0,8.3,43.0,"District 1, Ho Chi Minh City"
266,The Spring House,692.308,8.9,27.0,"Binh Thanh, Ho Chi Minh City"
267,Lotte Hotel Saigon,3108.282,8.7,211.0,"District 1, Ho Chi Minh City"
268,A&EM - The Petit Hotel,552.0,7.0,57.0,"District 1, Ho Chi Minh City"
269,RedDoorz near Him Lam,316.892,7.5,93.0,"District 7, Ho Chi Minh City"
270,Blue Diamond Luxury Hotel,1106.334,8.2,361.0,"District 1, Ho Chi Minh City"
271,Sabina Hotel,1474.105,8.9,124.0,"District 7, Ho Chi Minh City"
272,RedDoorz Thinh Gia Phat Hotel,367.771,7.5,46.0,"Tan Binh, Ho Chi Minh City"
273,HANZ Beautiful Saigon Boutique Hotel,390.15,8.058728448275861,135.6149732620321,"District 1, Ho Chi Minh City"
274,The Royal Hotel & Apartment - Phu My Hung,863.24,8.7,187.0,"District 7, Ho Chi Minh City"
275,Nhat Ha L’Opera Hotel,2726.0,8.1,83.0,"District 1, Ho Chi Minh City"
276,Smiley Apartment 3,495.0,7.2,46.0,"District 1, Ho Chi Minh City"
277,Hoang Lan Hotel,882.0,9.3,279.0,"District 3, Ho Chi Minh City"
278,Me Gustas Downtown Hotel (Formerly Dragon Palace 3 Hotel),437.933,7.5,206.0,"District 1, Ho Chi Minh City"
279,Full House Saigon Hotel,550.0,7.8,107.0,"District 1, Ho Chi Minh City"
280,A&EM Saigon Hotel,1920.0,8.0,395.0,"District 1, Ho Chi Minh City"
281,SONNET HOTEL,607.283,8.7,112.0,"District 3, Ho Chi Minh City"
282,Phong Lan 2 Hotel,449.28,7.1,33.0,"District 9, Ho Chi Minh City"
283,Bonita Signature Hotel,598.5,7.3,946.0,"District 1, Ho Chi Minh City"
284,The Art - G9 Homestay,684.0,9.4,671.0,"District 1, Ho Chi Minh City"
285,RIVERGATE ROSE HOME STUDIO NEAR CENTER FREE POOL & GYM,900.0,9.2,9.0,"District 4, Ho Chi Minh City"
286,Golden Tree Apartments,920.0,9.3,52.0,"District 7, Ho Chi Minh City"
287,"SaiGon CoZy Hotel ""241 Pham Ngu Lao Street''",485.56,8.9,44.0,"District 1, Ho Chi Minh City"
288,Kiki's House Saigon,300.0,7.8,371.0,"District 1, Ho Chi Minh City"
289,Senses Central Hotel,544.0,7.1,130.0,"District 1, Ho Chi Minh City"
290,Vietdream Hostel,129.2,7.2,308.0,"District 1, Ho Chi Minh City"
