,Name,Price,Rating,Reviews,Location
174,Prague Hotel,"744,603",8.3,917,"District 1, Ho Chi Minh City"
175,Botanic House Saigon,"675,000",8.1,234,"District 1, Ho Chi Minh City"
176,White Diamond Hotel - Airport,"643,774",7.9,339,"Tan Binh, Ho Chi Minh City"
177,Chill Suites,"754,128",8.6,487,"District 1, Ho Chi Minh City"
178,Minh Chau Hotel,"426,782",7.4,296,"District 10, Ho Chi Minh City"
179,Saigon Hanoi Central Hotel,"787,500",7.9,121,"District 1, Ho Chi Minh City"
180,Saigonciti Hotel,"572,000",7.6,195,"District 1, Ho Chi Minh City"
181,ART & LANG FAMILY,"225,000",9.1,122,"Tan Binh, Ho Chi Minh City"
182,Somerset Ho Chi Minh City,"2,593,780",8.9,743,"District 1, Ho Chi Minh City"
183,First Hotel,"1,054,688",7.6,82,"Tan Binh, Ho Chi Minh City"
184,Ohana Hotel,"154,400",8.7,184,"District 1, Ho Chi Minh City"
185,Avanti Hotel,"798,000",8.3,570,"District 1, Ho Chi Minh City"
186,LeBlanc Saigon,"534,581",8.1,93,"District 3, Ho Chi Minh City"
187,Vân Anh Luxury,"641,250",8.2,250,"District 1, Ho Chi Minh City"
188,Aristo Saigon Hotel,"990,000",8.1,542,"District 3, Ho Chi Minh City"
189,Grand Cititel Central Saigon Hotel,"1,020,000",8.0,311,"District 1, Ho Chi Minh City"
190,TN Central Hotel,"498,400",8.7,174,"District 1, Ho Chi Minh City"
191,Saigonciti Hotel A,"861,300",8.2,859,"District 1, Ho Chi Minh City"
192,Silverland Sil Hotel & Spa,"611,481",7.8,207,"District 1, Ho Chi Minh City"
193,Rosa Hotel,"522,000",8.0,55,Ho Chi Minh City
194,Amanaki Saigon Boutique Hotel,"1,262,500",8.6,327,"District 1, Ho Chi Minh City"
195,ALUNA Ben Thanh Hotel,"636,804",8.3,268,"District 1, Ho Chi Minh City"
196,The Arrivals Hotel from Sunland hotel,"979,290",8.5,"1,388","District 1, Ho Chi Minh City"
197,Asian Kitchen Hotel,"447,525",8.5,427,"District 1, Ho Chi Minh City"
198,Bon Ami Hotel - Thiên Xuân Hotel,"623,794",8.4,231,"District 1, Ho Chi Minh City"
199,Thanh Long Hotel - Bach Dang,"943,000",8.8,111,"Tan Binh, Ho Chi Minh City"
200,Thanh Long Hotel - Bach Dang,"943,000",8.8,111,"Tan Binh, Ho Chi Minh City"
201,The Odys Boutique Hotel,"1,005,615",8.3,593,"District 1, Ho Chi Minh City"
202,RedDoorz Premium @ Hang Xanh,"433,519",7.7,126,"Binh Thanh, Ho Chi Minh City"
203,Hotel L'Odéon Phu My Hung,"824,893",8.3,66,"District 7, Ho Chi Minh City"
204,My Anh 120 Central Saigon Hotel Ben Thanh Market,"437,400",8.6,504,"District 1, Ho Chi Minh City"
205,Sai Gon River Hotel,"312,000",7.4,76,"District 2, Ho Chi Minh City"
206,Bland Landmark Plus Luxury Residence,"1,555,556",8.9,82,"Binh Thanh, Ho Chi Minh City"
