name,price,Odometer,Ground Clearance,,Electric Start,Type Approval,Fuel System,Throttle,Compression Ratio,Bed Capacity,Gears,"Seat Height, Laden",Protection Plan,Swingarm,"Weight, Maximum Capacity","Lean Angle, Right (deg.)",Turning Radius,Gear Ratios (overall) 6th,"Tires, Rear Specification",Induction,"Wheel Type, Optional Style",Vehicle Type,VIN,Gear Ratios (overall) 3rd,Shock Absorber,Rear braking system,Gear Ratios (overall) 2nd,Emissions,Front Suspension,Weight,Electrical,Dry Weight,Castor,"Reduction Ratio, Primary",Starter,Brake System Type,Seat Type,Trail,Oil Capacity (w/filter),Gearbox,Length,Height,Chassis,Overall Width,Gauges,"Rack capacity, front",Valve train,"Brake Disc Diameter, Rear",Year,Bed Box Dimensions (LxWxH),Drive/Driven Clutch,Carburetion,Acceleration,Rake/trail,Description,Motor Type,Front Wheel,"Gross Axle Weight Rating, Rear",Security Option,"Weight, In Running Order",Instrumentation,Fuel Injection,Rear Tires / Model,Fuel Economy: Combined City/Hwy,Drivetrain,Oil Filter,"Fuel Usage, 100% Load",Rear Wheel,Cylinders-Displacement (cc),Fuel Type,Spark Plug,Gear Ratios (overall) 5th,Engine Type,Warranty,"Maximum Torque, PTO",Oil capacity,Gear Ratios (overall) 4th,"Gross Axle Weight Rating, Front","Rack capacity, rear","Wheel Type, Front",Tail Light,Maximum Thrust,Stroke,Engine Torque,Engine Management,"Weight, As Shipped","Axle Capacity, Rear",Alternator,Stock Number,Fuel Capacity,Parking Brake,Cylinder Liners,Front Travel (in./cm.),Primary Drive,Fork,Rake (steering head) (deg),Transmission,"Range, City",Wheel Option,Steering,Turn Signal,California Emissions,Lighting,Air Cleaner,Final Drive,"Engine Torque, Maximum","Features, Optional",Raking Angle Degrees,Fuel Reserve,Motor Torque,Vivid Black,"Brake Disc Diameter, Front",Colors,Make,Front Wheel Travel,Rear Tire,Freight,Displacement,Curb Weight,Condition,Overall Height,Overall Vehicle Size (LxWxH),Note,Engine Power,Width,Family,"Reduction Ratio, Secondary",Model,Motor Power,Overall Width (in./cm.),Front Tire,"Steering Angle, Right",Overall Height (in./cm.),Gear Ratios (overall) 1st,Ignition,Engine,Transmission Fluid Volume,Lubrication,"Lean Angle, Left (deg.)",Duration,Rotor Diameter,Front Fork,Motor Controller,"Tires, Front Specification",Overall Length,Category,Rear Suspension,Chain Type,Unloaded Weight,Rear Shocks,Dimensions,Exhaust,Engine Torque (rpm),Engine Torque Testing Method,Operating Conditions,Oil Type,Front braking system,Luggage Capacity -Volume,Gear Shifter,Wheels,Maximum Power At Shaft,Cooling,Top Speed,Features,Two-Tone Option,Cooling System,Model Id,Wheelbase,Headlight Type,Payload Capacity,Rear Travel (in./cm.),Color,GVWR,Suspension,Luggage Capacity -Weight,Battery,"Tire Pressure, Rear",Clutch,"Rack capacity, total",Overall Length (in./cm.),"Steering Angle, Left","Tire Pressure, Front",Charging System,Bore,"Seat Height, Unladen",Cargo Capacity,Custom Color Option,Seat Height,Frame Type,Seating Capacity,Rear Wheel Travel,Front Tires / Model,Color Option,"Wheels Type, Rear","Brakes, Caliper Type",ABS Option,Drive System,Power System Type,Transmission/Final Drive,Engine Mount,Towing Capacity,Cruise Control Option,Color/Graphics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FLSTF - Softail® Fat Boy®,Click for a Quote,46915,5.10 in. (129.54 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.40 in. (645.16 mm),,"Mild steel, round tube sections, forged junctions; MIG welded",,30° (per SAE J1168),,2.79,"Dunlop® Harley-Davidson Series, radial blackwall, D407, 200/55R17 78V",,,Motorcycle / Scooter,1HD1BX5129Y017615,4.774,,,6.421,,,,,,,,1.2 kW electric with solenoid shift starter motor engagement,"4-piston front and 2-piston rear / Rotor: Patented, uniform expansion rotors",,5.80 in. (147.32 mm),,,94.30 in. (2395.22 mm),,,39.20 in. (995.68 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,17 in. x 3.50 in. (431.80 mm x 88.90 mm),730 lbs. (331.12 kg),,714 lbs. (323.86 kg),,,,35/54 mpg (6.72/4.36 L/100 km),,,,17 in. x 6 in. (431.80 mm x 152.40 mm),,,,3.279,,,,3.50 qts. (3.31 L) / Primary Chain Case Capacity: 1 qts. (0.95 L),3.926,430 lbs. (195.04 kg),,,,,4.38 in. (111.25 mm),89.80 ft. lbs. @ 2750 rpm (121.77 NM @ 2750 rpm),,694 lbs. (314.79 kg),,,U017615WB,5 gal. (18.93 L),,,,"Chain, 34/46 ratio",Angle: 31°,31°,6-Speed Cruise Drive®,,,,,,"Headlamp: 55-watt low beam, 60-watt high beam / Tail/Stop Lights: 8W/28W (5W/21W) / Turn Signal Lights: 28W (21W) self-canceling / Indicator Lamps: High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system6 (optional), 6-speed, low fuel warnings","Paper, washable","Belt, 32/66 ratio",,,,,,,,,Harley-Davidson®,5.10 in. (129.54 mm),,,96 cu. in. (1584 cc),,Pre-owned,44.50 in. (1130.30 mm),,,,,Softail®,,FLSTF - Softail® Fat Boy®,,,,,,9.312,,"Air-cooled, Twin Cam 96B™",1 qts. (0.95 L),"Pressurized, dry-sump",28° (per SAE J1168),,Front: 11.50 in. x .20 in. (292.10 mm x 5.08 mm) / Rear: 11.50 in. x .23 in. (292.10 mm x 5.84 mm),"41.30 mm telescopic, “beer can” covers",,"Dunlop® Harley-Davidson Series, bias blackwall, D407F, 140/75R17 67V",,Cruiser,,,,"Hidden, horizontal-mounted, coil-over",,,,,,,,,,"Silver, Bullet Hole Disc Cast Aluminum",,,,,,,,64.50 in. (1638.30 mm),,,,,1160 lbs. (526.17 kg),,,"Sealed, maintenance-free, 12V, 19-amp/hour, 270 cca",,"9-plate, wet",,,,,"Three-phase, 38-amp system (439W @ 13V, 2000 rpm, 489W max power @ 13V)",3.75 in. (95.25 mm),27.50 in. (698.50 mm),,,,"Mild steel tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded",,4.30 in. (109.22 mm),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FLTR - Road Glide®,"$14,995 ",58530,5.10 in. (129.54 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,,,Mild steel; two-piece drawn and welded section; forged junctions; MIG welded,,33° (per SAE J1168),,2.875,,,,Motorcycle / Scooter,1HD1FS4149Y601507,4.938,,11.81 in. x .28 in. (299.97 mm x 7.11 mm),6.65,,4.60 in. (116.84 mm),,,,,,1.2 kW electric with solenoid shift starter motor engagement,"Patented, fixed rotors",,6.69 in. (169.93 mm),,,,,Mild steel; tubular frame; two-piece stamped and welded backbone; cast and forged junctions; twin downtubes; bolt-on rear frame with forged fender supports; MIG welded,35.80 in. (909.32 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,"Black, 28-spoke Cast Aluminum, 17 in. x 3 in. (431.80 mm x 76.20 mm)",927 lbs. (420.48 kg),,820 lbs. (371.95 kg),,,,35/54 mpg (6.72/4.36 L/100 km),,,,"Black, 28-spoke Cast Aluminum, 16 in. x 5 in. (406.40 mm x 127.0 mm)",,,,3.407,,,,4 qts. (3.79 L) w/filter,4,500 lbs. (226.80 kg),,,Lights 8W/28W (5W/21W),,4.38 in. (111.25 mm),,,783 lbs. (355.16 kg),,,U601507WS,6 gal. (22.71 L) (warning light at approximately 1 gal.),,,,"Chain, 34/46 ratio",Angle: 29.25°,26°,6-Speed Cruise Drive,,,,,,"Headlamp (quartz halogen) 55-watt low beam, 60-watt high beam","Fiberglass, washable","Belt, 32/68 ratio",,,,,,,,,Harley-Davidson®,,"D407 BW 180/65B16 81H (Dunlop® Harley-Davidson Series, bias blackwall front and rear)",,96 cu. in. (1584 cc),,Pre-owned,55 in. (1397 mm),,,,,Touring,,FLTR - Road Glide®,,,"D407F BW 130/80B17 65H (Dunlop® Harley-Davidson Series, bias blackwall front and rear)",,,9.593,,92.60 ft. lbs. @ 3500 rpm (125.57 NM @ 3500 rpm),,"Pressurized, dry-sump",31° (per SAE J1168),,,"41.30 mm telescopic, cartridge-style damping",,,94.10 in. (2390.14 mm),Touring,3 in. (76.20 mm),Case Capacity: 1.40 qts. (1.32 L),,Air-adjustable,,,,,,,11.81 in. x .20 in. (299.97 mm x 5.08 mm) Dual,,,,,,,,,,,63.54 in. (1613.92 mm),,,,,1360 lbs. (616.89 kg),,,"Sealed, maintenance-free, 12V, 28-amp/hour, 270 cca (per Battery Council International Rating)",,"9-plate, wet",,,,,"Three-phase, 50-amp system (585W @ 13V, 2000 rpm, 650W max power @ 13V)",3.75 in. (95.25 mm),,,,26.90 in. (683.26 mm) Laden / 29.50 in. (749.30 mm) Unladen,,,,,,,"32 mm, 4-piston fixed front and rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FLTR - Road Glide®,"$13,499 ",38008,5.10 in. (129.54 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,,,Mild steel; two-piece drawn and welded section; forged junctions; MIG welded,,33° (per SAE J1168),,2.875,,,,Motorcycle / Scooter,1HD1FS4169Y660073,4.938,,11.81 in. x .28 in. (299.97 mm x 7.11 mm),6.65,,4.60 in. (116.84 mm),,,,,,1.2 kW electric with solenoid shift starter motor engagement,"Patented, fixed rotors",,6.69 in. (169.93 mm),,,,,Mild steel; tubular frame; two-piece stamped and welded backbone; cast and forged junctions; twin downtubes; bolt-on rear frame with forged fender supports; MIG welded,35.80 in. (909.32 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,"Black, 28-spoke Cast Aluminum, 17 in. x 3 in. (431.80 mm x 76.20 mm)",927 lbs. (420.48 kg),,820 lbs. (371.95 kg),,,,35/54 mpg (6.72/4.36 L/100 km),,,,"Black, 28-spoke Cast Aluminum, 16 in. x 5 in. (406.40 mm x 127.0 mm)",,,,3.407,,,,4 qts. (3.79 L) w/filter,4,500 lbs. (226.80 kg),,,Lights 8W/28W (5W/21W),,4.38 in. (111.25 mm),,,783 lbs. (355.16 kg),,,U660073FR,6 gal. (22.71 L) (warning light at approximately 1 gal.),,,,"Chain, 34/46 ratio",Angle: 29.25°,26°,6-Speed Cruise Drive,,,,,,"Headlamp (quartz halogen) 55-watt low beam, 60-watt high beam","Fiberglass, washable","Belt, 32/68 ratio",,,,,,,,,Harley-Davidson®,,"D407 BW 180/65B16 81H (Dunlop® Harley-Davidson Series, bias blackwall front and rear)",,96 cu. in. (1584 cc),,Pre-owned,55 in. (1397 mm),,,,,Touring,,FLTR - Road Glide®,,,"D407F BW 130/80B17 65H (Dunlop® Harley-Davidson Series, bias blackwall front and rear)",,,9.593,,92.60 ft. lbs. @ 3500 rpm (125.57 NM @ 3500 rpm),,"Pressurized, dry-sump",31° (per SAE J1168),,,"41.30 mm telescopic, cartridge-style damping",,,94.10 in. (2390.14 mm),Touring,3 in. (76.20 mm),Case Capacity: 1.40 qts. (1.32 L),,Air-adjustable,,,,,,,11.81 in. x .20 in. (299.97 mm x 5.08 mm) Dual,,,,,,,,,,,63.54 in. (1613.92 mm),,,,,1360 lbs. (616.89 kg),,,"Sealed, maintenance-free, 12V, 28-amp/hour, 270 cca (per Battery Council International Rating)",,"9-plate, wet",,,,,"Three-phase, 50-amp system (585W @ 13V, 2000 rpm, 650W max power @ 13V)",3.75 in. (95.25 mm),,,,26.90 in. (683.26 mm) Laden / 29.50 in. (749.30 mm) Unladen,,,,,,,"32 mm, 4-piston fixed front and rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FXCWC - Rocker™ C,"$12,490 ",13395,5.10 in. (129.54 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.25 in. (641.35 mm),,"Mild steel, elliptical tube sections, forged junctions; MIG welded",,32.5° (per SAE J1168),,2.79,"Dunlop® Harley-Davidson Series, radial blackwall, D407, 240/40R18",,,Motorcycle / Scooter,1HD1JK5139Y010243,4.774,,,6.421,,,,,,,,1.2 kW electric with solenoid shift starter motor engagement,"4-piston front and 2-piston rear / Rotor: Patented, uniform expansion rotors",,6.20 in. (157.48 mm),,,95 in. (2413 mm),,,35.10 in. (891.54 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,19 in. x 2.15 in. (482.60 mm x 54.61 mm),760 lbs. (344.73 kg),,720.69 lbs. (326.90 kg),,,,35/54 mpg (6.72/4.36 L/100 km),,,,18 in. x 8 in. (457.20 mm x 203.20 mm),,,,3.279,,,,3.50 qts. (3.31 L) / Primary Chain Case Capacity: 1 qts. (0.95 L),3.926,415 lbs. (188.24 kg),,,,,4.38 in. (111.25 mm),87.90 ft. lbs. @ 2750 rpm (119.19 NM @ 2750 rpm),,686.30 lbs. (311.30 kg),,,U010243WS,5 gal. (18.93 L),,,,"Chain, 34/46 ratio",Angle: 37°,36°,6-Speed Cruise Drive®,,,,,,"Headlamp: 55-watt low beam, 60-watt high beam / Stop/Turn/Tail Lights: Integrated LED / Front Turn Signal Lights: 28W (21W) self-canceling / Indicator Lamps: High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system6 (optional), 6-speed, low fuel warnings","Paper, washable","Belt, 32/66 ratio",,,,,,,,,Harley-Davidson®,5 in. (127 mm),,,96 cu. in. (1584 cc),,Pre-owned,46 in. (1168.40 mm),,,,,Softail®,,FXCWC - Rocker™ C,,,,,,9.312,,"Air-cooled, Twin Cam 96B™",1 qts. (0.95 L),"Pressurized, dry-sump",29.5° (per SAE J1168),,Front: 11.50 in. x .20 in. (292.10 mm x 5.08 mm) / Rear: 11.50 in. x .23 in. (292.10 mm x 5.84 mm),49 mm telescopic,,"Dunlop® Harley-Davidson Series, bias blackwall, D407, 90/90-19",,Sport,,,,"Hidden, horizontal-mounted, coil-over",,,,,,,,,,"Painted, 5-Spoke Cast Aluminum",,,,,,,,69.20 in. (1757.68 mm),,,,,1175 lbs. (532.97 kg),,,"Sealed, maintenance-free, 12V, 19-amp/hour, 270 cca",,"9-plate, wet",,,,,"Three-phase, 38-amp system (439W @ 13V, 2000 rpm, 489W max power @ 13V)",3.75 in. (95.25 mm),27.48 in. (697.99 mm),,,,"Mild steel tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded",,3.12 in. (79.12 mm),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FXDC - Super Glide® Custom,"$9,995 ",26710,5.32 in. (135.13 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.80 in. (680.72 mm),,"Mild steel, rectangular tube sections, stamped junctions; MIG welded",,32° (per SAE J1168),,2.79,"Dunlop® Harley-Davidson Series, bias blackwall, K591, 160/70B17 73V",,,Motorcycle / Scooter,1HD1GV4199K342000,4.774,,,6.421,,,,,,,,1.2 kW electric with solenoid shift starter motor engagement,"4-piston fixed front, and 2-piston torque-free floating rear / Rotor: Patented, uniform expansion rotors (floating, front only)",,4.70 in. (119.38 mm),,,92.90 in. (2359.66 mm),,,38.90 in. (988.06 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,19 in. x 2.50 in. (482.60 mm x 63.50 mm),695 lbs. (315.25 kg),,676 lbs. (306.63 kg),,,,34/53 mpg (6.92/4.44 L/100 km),,,,17 in. x 4.50 in. (431.80 mm x 114.30 mm),,,,3.279,,,,3 qts. (2.84 L) / Primary Chain Case Capacity: 1 qts. (0.95 L),3.926,390 lbs. (176.90 kg),,,,,4.38 in. (111.25 mm),92 ft. lbs. @ 3000 rpm (124.75 NM @ 3000 rpm),,645 lbs. (292.57 kg),,,U342000SR,5 gal. (18.93 L),,,,"Chain, 34/46 ratio",Angle: 29°,29°,6-Speed Cruise Drive®,,,,,,"Headlamp: 55-watt low beam, 60-watt high beam / Tail/Stop Lights: 8W/28W (5W/21W) / Turn Signal Lights: 28W (21W) self-canceling / Indicator Lamps: High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system6 (optional), 6-speed, low fuel warnings","Fiberglass Media, washable","Belt, 32/66 ratio",,,,,,,,,Harley-Davidson®,5 in. (127 mm),,,96 cu. in. (1584 cc),,Pre-owned,47.70 in. (1211.58 mm),,Electric Power Outlet: Standard,,,Dyna®,,FXDC - Super Glide® Custom,,,,,,9.312,,"Air-cooled, Twin Cam 96™",1 qts. (0.95 L),"Pressurized, dry-sump",34° (per SAE J1168),,Front: 11.80 in. x .20 in. (299.72 mm x 5.08 mm) / Rear: 11.50 in. x .23 in. (292.10 mm x 5.84 mm),49 mm with polished aluminum fork triple clamp and dual-rate springs,,"Dunlop® Harley-Davidson Series, bias blackwall, D401F, 100/90-19 57H",,Cruiser,,,,Coil-over shock,,,,,,,,,,"Chrome, Laced Steel",,,,,,,,64.20 in. (1630.68 mm),,,,,1085 lbs. (492.15 kg),,,"Sealed, maintenance-free, 12V, 19-amp/hour, 270 cca",,"9-plate, wet",,,,,"Three-phase, 40-amp system (493W @ 13.5V, 2000 rpm, 540W max power @ 13.5V)",3.75 in. (95.25 mm),27.80 in. (706.12 mm),,,,"Mild steel, tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded",,4.10 in. (104.14 mm),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FXDC - Super Glide® Custom,"$8,995 ",57625,5.32 in. (135.13 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.80 in. (680.72 mm),,"Mild steel, rectangular tube sections, stamped junctions; MIG welded",,32° (per SAE J1168),,2.79,"Dunlop® Harley-Davidson Series, bias blackwall, K591, 160/70B17 73V",,,Motorcycle / Scooter,1HD1GV4149K320275,4.774,,,6.421,,,,,,,,1.2 kW electric with solenoid shift starter motor engagement,"4-piston fixed front, and 2-piston torque-free floating rear / Rotor: Patented, uniform expansion rotors (floating, front only)",,4.70 in. (119.38 mm),,,92.90 in. (2359.66 mm),,,38.90 in. (988.06 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,19 in. x 2.50 in. (482.60 mm x 63.50 mm),695 lbs. (315.25 kg),,676 lbs. (306.63 kg),,,,34/53 mpg (6.92/4.44 L/100 km),,,,17 in. x 4.50 in. (431.80 mm x 114.30 mm),,,,3.279,,,,3 qts. (2.84 L) / Primary Chain Case Capacity: 1 qts. (0.95 L),3.926,390 lbs. (176.90 kg),,,,,4.38 in. (111.25 mm),92 ft. lbs. @ 3000 rpm (124.75 NM @ 3000 rpm),,645 lbs. (292.57 kg),,,U320275WS,5 gal. (18.93 L),,,,"Chain, 34/46 ratio",Angle: 29°,29°,6-Speed Cruise Drive®,,,,,,"Headlamp: 55-watt low beam, 60-watt high beam / Tail/Stop Lights: 8W/28W (5W/21W) / Turn Signal Lights: 28W (21W) self-canceling / Indicator Lamps: High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system6 (optional), 6-speed, low fuel warnings","Fiberglass Media, washable","Belt, 32/66 ratio",,,,,,,,,Harley-Davidson®,5 in. (127 mm),,,96 cu. in. (1584 cc),,Pre-owned,47.70 in. (1211.58 mm),,Electric Power Outlet: Standard,,,Dyna®,,FXDC - Super Glide® Custom,,,,,,9.312,,"Air-cooled, Twin Cam 96™",1 qts. (0.95 L),"Pressurized, dry-sump",34° (per SAE J1168),,Front: 11.80 in. x .20 in. (299.72 mm x 5.08 mm) / Rear: 11.50 in. x .23 in. (292.10 mm x 5.84 mm),49 mm with polished aluminum fork triple clamp and dual-rate springs,,"Dunlop® Harley-Davidson Series, bias blackwall, D401F, 100/90-19 57H",,Cruiser,,,,Coil-over shock,,,,,,,,,,"Chrome, Laced Steel",,,,,,,,64.20 in. (1630.68 mm),,,,,1085 lbs. (492.15 kg),,,"Sealed, maintenance-free, 12V, 19-amp/hour, 270 cca",,"9-plate, wet",,,,,"Three-phase, 40-amp system (493W @ 13.5V, 2000 rpm, 540W max power @ 13.5V)",3.75 in. (95.25 mm),27.80 in. (706.12 mm),,,,"Mild steel, tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded",,4.10 in. (104.14 mm),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Harley-Davidson® FXDF - Dyna® Fat Bob,"$8,990 ",65738,4.92 in. (124.99 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.10 in. (662.94 mm),,"Mild steel, rectangular tube sections, stamped junctions; MIG welded",,30° (per SAE J1168),,2.79,"Dunlop® Harley-Davidson Series, bias blackwall, D427, 180/70B16",,,Motorcycle / Scooter,1HD1GY41X9K302946,4.774,,,6.421,,,,,,,,1.2 kW electric with solenoid shift starter motor engagement,"4-piston fixed front, and 2-piston torque-free floating rear / Rotor: Patented, uniform expansion rotors",,4.92 in. (124.97 mm),,,91.73 in. (2329.94 mm),,,35.03 in. (889.76 mm),,,"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,2009,,,,,,,,16 in. x 3.50 in. (406.40 mm x 88.90 mm),695 lbs. (315.25 kg),,703 lbs. (318.88 kg),,,,34/53 mpg (6.92/4.44 L/100 km),,,,16 in. x 5 in. (406.40 mm x 127 mm),,,,3.279,,,,3 qts. (2.84 L) (w/filter) / Primary Chain Case Capacity: 1 qts. (0.95 L),3.926,390 lbs. (176.90 kg),,,,,4.38 in. (111.25 mm),92 ft. lbs. @ 3000 rpm (124.75 NM @ 3000 rpm),,669.70 lbs. (303.77 kg),,,U302946WS,5 gal. (18.93 L),,,,"Chain, 34/46 ratio",Angle: 28°,29°,6-Speed Cruise Drive®,,,,,,"Headlamp: 55-watt low beam, 60-watt high beam / Tail/Stop Lights: 8W/28W (5W/21W) / Turn Signal Lights: 28W (21W) self-canceling / Indicator Lamps: High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system6 (optional), 6-speed, low fuel warnings","Fiberglass Media, washable","Belt, 32/66 ratio",,,,,,,,,Harley-Davidson®,5 in. (127 mm),,,96 cu. in. (1584 cc),,Pre-owned,44.56 in. (1131.82 mm),,Electric Power Outlet: Standard,,,Dyna®,,FXDF - Dyna® Fat Bob,,,,,,9.312,,"Air-cooled, Twin Cam 96™",1 qts. (0.95 L),"Pressurized, dry-sump",31° (per SAE J1168),,Front: 11.80 in. x .20 in. (299.72 mm x 5.08 mm / Rear: 11.50 in. x .23 in. (292.10 mm x 5.84 mm),49 mm with polished aluminum fork triple clamp and dual-rate springs,,"Dunlop® Harley-Davidson Series, bias blackwall, D427F, 130/90B16",,Sport,,,,"Fully Covered, Coil-over shock",,,,,,,,,,"Front: Silver, Solid Disc Cast Aluminum / Rear: Silver, Slotted Disc Cast Aluminum",,,,,,,,63.77 in. (1619.76 mm),,,,,1085 lbs. (492.15 kg),,,"Sealed, maintenance-free, 12V, 19-amp/hour, 270 cca",,"9-plate, wet",,,,,"Three-phase, 40-amp system (493W @ 13.5V, 2000 rpm, 540W max power @ 13.5V)",3.75 in. (95.25 mm),27.08 in. (687.83 mm),,,,"Mild steel, tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded",,3.10 in. (78.74 mm),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
