Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,,,,Classic,,Manual,2,Gasoline,5,Used,"25,000 km",,,,,,Ducati900 NCR,,,,,60 kW (82 hp),1981-01-01,900 cc,,Red,2,,,,,"€ 21,000.-"
,,,,Yes,Others,,Manual,,Gasoline,,Used,"13,400 km",,Grijs,,,,HondaNC 750,,,,,,2017-01-01,,,Grey,,,,,,"€ 6,950.-"
,,,,,Others,,,,Gasoline,,Used,700 km,,,,,,SYM,Electric Starter,,,,9 kW (12 hp),2022-04-01,,"ABS
Alarm system",Black,,,,,,"€ 2,750.-"
,,May-20,17307840,,Super Moto,,Manual,2,Gasoline,6,Used,"7,500 km",,Rosso,,,,DucatiHypermotard 950,,,,,84 kW (114 hp),2020-05-01,937 cc,,Red,,,,,,"€ 10,900.-"
,,,17307680,24 months,Supersport,,Manual,2,Gasoline,6,Used,"49,700 km",Yes,Bianco,,,,BMWR 1200 GS,,,Euro 3,,92 kW (125 hp),2014-03-01,"1,170 cc",ABS,White,3,,,,,"€ 12,600.-"
,,Jun-23,17307722,24 months,Touring Enduro,,Manual,2,Gasoline,6,Used,"3,500 km",Yes,Grigio,,,,BMWR nineT,,,Euro 3,,81 kW (110 hp),2019-06-01,"1,170 cc",ABS,Grey,1,,,,,"€ 12,500.-"
,,,17307134,12 months,Touring Enduro,,Manual,,Gasoline,6,Used,"30,703 km",,Vari colori,,,,BMWR 1200 GS,,,Euro 4,,92 kW (125 hp),2017-03-01,"1,170 cc",,,2,,,,,"€ 17,500.-"
,,,17307061,12 months,Enduro Bike,,Manual,,Gasoline,5,Used,"66,400 km",,Rosso,,,,BMWF 650,,,,,35 kW (48 hp),1996-01-01,652 cc,,Red,1,,,,,"€ 1,550.-"
,,,17307030,12 months,Touring Enduro,,Manual,,Gasoline,6,Used,"42,570 km",,Nero,,,,TriumphTiger 800,,,Euro 3,,70 kW (95 hp),2011-09-01,800 cc,,Black,5,,,,,"€ 6,990.-"
,,,17306997,12 months,Super Moto,,Manual,,Gasoline,6,Used,"51,903 km",,Rosa,,,,BMWR 1200 GS Adventure,,,Euro 4,,92 kW (125 hp),2017-11-01,"1,170 cc",,,3,,,,,"€ 15,990.-"
,,,STREETFIGHTEV2,,Others,,,,Gasoline,,Used,"2,754 km",,ROUGE,,,,DucatiStreetfighter,,,,,,2022-03-01,,,,1,,,,,"€ 17,590.-"
,,,2968,3 months,Others,,Manual,,Gasoline,,Used,"18,247 km",,Jet black,,,,TriumphSpeed Triple 1050,,,,,,2010-05-01,"1,050 cc",,,,,,,,"€ 7,690.-"
