address,area,price,floor,room,buildingLine
" Phố Thông Phong, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",30m2,"2,68 tỷ ",4,4,---
" Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",100m2,"31,8 tỷ ",3,1,20m
" Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",54m2,"6,5 tỷ ",3,4,4m
" Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",61m2,9 tỷ ,5,5,15m
" Đường Nguyễn Tuân, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",97m2,"6,4 tỷ ",1,1,40m
" Đường Thanh Nhàn, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",110m2,"17,7 tỷ ",4,4,8m
" Quốc lộ 21B, Phường Phú Lãm, Quận Hà Đông, Hà Nội",45m2,"2,95 tỷ ",4,4,6m
" Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",35m2,"4,2 tỷ ",2,1,6m
" Đường Hoàng Ngân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",55m2,"14,5 tỷ ",---,4,---
" Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",52m2,"6,1 tỷ ",3,3,4m
" Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",106m2,"17,4 tỷ ",3,3,6m
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",65m2,"9,5 tỷ ",8,5,4m
" Đường Quốc lộ 6, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",52m2,"3,65 tỷ ",4,4,10m
" Phố Linh Lang, Phường Thành Công, Quận Ba Đình, Hà Nội",44m2,"5,5 tỷ ",3,5,4m
" Phố Thụy Khuê, Quận Ba Đình, Hà Nội",29m2,"4,65 tỷ ",3,3,10m
" Phố Phố 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",105m2,"17,5 tỷ ",3,3,6m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",51m2,"5,3 tỷ ",4,4,5m
" Ngõ Quỳnh, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",108m2,"17,35 tỷ ",3,3,6m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",51m2,"5,3 tỷ ",4,4,5m
" Phố Thụy Khuê, Quận Ba Đình, Hà Nội",29m2,"4,65 tỷ ",3,3,10m
" Phố Phố 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",105m2,"17,5 tỷ ",3,3,6m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",51m2,"5,3 tỷ ",4,4,5m
